DATE,age,avg_bg,bmr,body_fat,e_caffeine,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fat,e_fiber,e_iron,e_monounsaturated_fat,e_num_drinks,e_num_foods,e_num_mealitems_green,e_num_mealitems_red,e_num_mealitems_with_score,e_num_mealitems_yellow,e_num_water,e_polyunsaturated_fat,e_potassium,e_protein,e_sat_fat,e_sodium,e_sugar,e_trans_fat,e_unsat_fat,e_vitamin_a,e_vitamin_c,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_steps_3am,m_total_calories,m_workout_count,m_workout_time,max_bg,min_bg,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,n_to_bed_phr,num_readings,rhr,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,s_to_bed_phr,weight
20160124,23.871584699453553,,1387.0335048435616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1387.0335048435616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160125,23.87431693989071,,1387.020694980548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1387.020694980548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160126,23.87704918032787,,1387.0078851175342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1387.0078851175342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160127,23.879781420765028,,1386.9950752545205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.9950752545205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160128,23.882513661202186,,1386.9822653915069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.9822653915069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160129,23.885245901639344,,1386.9694555284932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.9694555284932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160130,23.887978142076502,,1386.9566456654793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.9566456654793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160131,23.89071038251366,,1386.9438358024656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.9438358024656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160201,23.89344262295082,,1386.931025939452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.931025939452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160202,23.896174863387976,,1386.9182160764383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.9182160764383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160203,23.898907103825138,,1386.9054062134246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.9054062134246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160204,23.901639344262296,,1386.892596350411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.892596350411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160205,23.904371584699454,,1386.8797864873973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.8797864873973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160206,23.907103825136613,,1386.8669766243836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.8669766243836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160207,23.90983606557377,,1386.8541667613697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.8541667613697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160208,23.91256830601093,,1386.841356898356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.841356898356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160209,23.915300546448087,,1386.8285470353424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.8285470353424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160210,23.918032786885245,,1386.8157371723287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.8157371723287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160211,23.920765027322403,,1386.802927309315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.802927309315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160212,23.92349726775956,,1386.7901174463013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.7901174463013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160213,23.92622950819672,,1386.7773075832877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.7773075832877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160214,23.92896174863388,,1386.764497720274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.764497720274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160215,23.93169398907104,,1386.75168785726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.75168785726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160216,23.934426229508198,,1386.7388779942464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.7388779942464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
